FONTE_STN_COD;ANO;MES_COD;UO_COD;FONTE_COD;RECEITA_COD
501;2023;1;1401;60;1922063199000
501;2023;1;1451;60;1923990101000
501;2023;1;1511;60;1611010106000
501;2023;1;1511;60;1611010109000
501;2023;1;1911;11;1911010103001
501;2023;1;1911;15;1321010101000
501;2023;1;2011;60;1219991101008
501;2023;1;2011;60;1219991102003
501;2023;1;2011;60;1219991102008
501;2023;1;2011;60;1219991102009
501;2023;1;2011;60;1219991102010
501;2023;1;2011;60;1219991102011
501;2023;1;2011;60;1219991299000
501;2023;1;2011;60;1219991399000
501;2023;1;2011;60;1219991499000
501;2023;1;2011;60;1311021199000
501;2023;1;2011;60;1321010101000
501;2023;1;2011;60;1611010120000
501;2023;1;2011;60;1611010199001
501;2023;1;2011;60;1631990105001
501;2023;1;2011;60;1631990105002
501;2023;1;2011;60;1911090199000
501;2023;1;2011;60;1922063199000
501;2023;1;2011;60;1922990199000
501;2023;1;2011;60;1999992199000
501;2023;1;2011;60;7311011101000
501;2023;1;2041;60;1321010101000
501;2023;1;2041;60;1922990199000
501;2023;1;2041;60;1999992102000
501;2023;1;2041;60;1999992103000
501;2023;1;2061;60;1321010101000
501;2023;1;2061;60;1611010103000
501;2023;1;2061;60;1611010124000
501;2023;1;2061;60;1611010130000
501;2023;1;2061;60;1611010199001
501;2023;1;2061;60;1611020101000
501;2023;1;2061;60;1611030104000
501;2023;1;2061;60;1922990199000
501;2023;1;2071;60;1321010101000
501;2023;1;2071;60;1922011101000
501;2023;1;2071;60;1922990199000
501;2023;1;2091;60;1611010128000
501;2023;1;2091;60;1611010199001
501;2023;1;2091;60;1699990301000
501;2023;1;2091;60;1911061101000
501;2023;1;2091;60;1922990199000
501;2023;1;2101;60;1611010116000
501;2023;1;2101;60;1611010121000
501;2023;1;2101;60;1699990301000
501;2023;1;2101;60;1911061101000
501;2023;1;2101;60;1922990199000
501;2023;1;2101;60;1999992199000
501;2023;1;2121;60;1311011101000
501;2023;1;2121;60;1311011201000
501;2023;1;2121;60;1322010102000
501;2023;1;2121;60;1329990102000
501;2023;1;2121;60;1611010199001
501;2023;1;2121;60;1631990105001
501;2023;1;2121;60;1631990105002
501;2023;1;2121;60;1699990101000
501;2023;1;2121;60;1922990199000
501;2023;1;2121;60;1999992199000
501;2023;1;2121;60;7219991205000
501;2023;1;2151;60;1411010101000
501;2023;1;2151;60;1611010199001
501;2023;1;2171;60;1699990101000
501;2023;1;2181;60;1311011101000
501;2023;1;2181;60;1611010124000
501;2023;1;2181;60;1611010127000
501;2023;1;2181;60;1921990199000
501;2023;1;2201;60;1699990101000
501;2023;1;2211;60;1311011101000
501;2023;1;2211;60;1611010107000
501;2023;1;2241;60;1699990301000
501;2023;1;2241;60;1911061101000
501;2023;1;2241;60;1922990199000
501;2023;1;2251;60;1611030106000
501;2023;1;2251;60;1611040101000
501;2023;1;2251;60;1922990199000
501;2023;1;2251;60;7611030106000
501;2023;1;2261;60;1311011101000
501;2023;1;2261;60;1511010101003
501;2023;1;2261;60;1511010101999
501;2023;1;2261;60;1922990199000
501;2023;1;2261;60;7631520101000
501;2023;1;2271;60;1311011101000
501;2023;1;2271;60;1321010101000
501;2023;1;2271;60;1329990199000
501;2023;1;2271;60;1511010101002
501;2023;1;2271;60;1611010199001
501;2023;1;2271;60;1611020101000
501;2023;1;2271;60;1631500101000
501;2023;1;2271;60;1911090199000
501;2023;1;2271;60;1922990199000
501;2023;1;2271;60;1923990103000
501;2023;1;2271;60;1999992199000
501;2023;1;2301;60;1611010103000
501;2023;1;2301;60;1611010128000
501;2023;1;2301;60;1699990101000
501;2023;1;2301;60;1911010199000
501;2023;1;2301;60;1921990199000
501;2023;1;2301;60;1922990199000
501;2023;1;2301;60;1999992199000
501;2023;1;2301;60;1999992299000
501;2023;1;2311;60;1311011102000
501;2023;1;2311;60;1321010101000
501;2023;1;2311;60;1611010124000
501;2023;1;2311;60;1611020101000
501;2023;1;2311;60;1631500101000
501;2023;1;2321;60;1321010101000
501;2023;1;2321;60;1322010102000
501;2023;1;2321;60;1351011101000
501;2023;1;2321;60;1631500101000
501;2023;1;2321;60;1631530101000
501;2023;1;2321;60;1631990102000
501;2023;1;2321;60;1631990104000
501;2023;1;2321;60;1921990199000
501;2023;1;2321;60;1922990199000
501;2023;1;2321;60;1999992199000
501;2023;1;2321;60;7631990103000
501;2023;1;2321;60;7631990104000
501;2023;1;2321;60;7922990199000
501;2023;1;2351;60;1311011102000
501;2023;1;2351;60;1322010102000
501;2023;1;2351;60;1611010124000
501;2023;1;2351;60;1611020101000
501;2023;1;2351;60;1922990199000
501;2023;1;2351;60;2213010101000
501;2023;1;2371;60;1311011101000
501;2023;1;2371;60;1321010101000
501;2023;1;2371;60;1611010125000
501;2023;1;2371;60;1611030104000
501;2023;1;2371;60;1611030106000
501;2023;1;2371;60;1611030199000
501;2023;1;2371;60;1699990101000
501;2023;1;2371;60;1922990199000
501;2023;1;2371;60;1999992299000
501;2023;1;2431;60;1611010199001
501;2023;1;2461;60;1611010199001
501;2023;1;3041;60;1611010128000
501;2023;1;3051;60;1411010101000
501;2023;1;3051;60;1411010102999
501;2023;1;3051;60;1411010199000
501;2023;1;3051;60;1511010101004
501;2023;1;3051;60;1611010124000
501;2023;1;3051;60;1611010129000
501;2023;1;3051;60;1611010130000
501;2023;1;3051;60;1611040102000
501;2023;1;3051;60;1699990101000
501;2023;1;3051;60;1999992199000
501;2023;1;3051;60;7411010101000
501;2023;1;3151;60;1611010107000
501;2023;1;4031;60;1311021101000
501;2023;1;4031;60;1321010101000
501;2023;1;4031;60;1361011101000
501;2023;1;4031;60;1611010101000
501;2023;1;4031;60;1611010113000
501;2023;1;4031;60;1611010123002
501;2023;1;4031;60;1611010223002
501;2023;1;4031;60;1611010323002
501;2023;1;4031;60;1611010423002
501;2023;1;4031;60;1611020101000
501;2023;1;4031;60;1611040105000
501;2023;1;4031;60;1699990101000
501;2023;1;4031;60;1911010108001
501;2023;1;4031;60;1911010108002
501;2023;1;4031;60;1911010208001
501;2023;1;4031;60;1911090199000
501;2023;1;4031;60;1921990199000
501;2023;1;4031;60;1922990199000
501;2023;1;4031;60;1999992109001
501;2023;1;4031;60;1999992109002
501;2023;1;4031;60;1999992199000
501;2023;1;4031;60;1999992209001
501;2023;1;4031;60;7311021101000
501;2023;1;4031;60;7611010101000
501;2023;1;4101;60;1641010101000
501;2023;1;4101;60;2311071199000
501;2023;1;4111;60;1641010101000
501;2023;1;4111;60;2311071199000
501;2023;1;4121;60;1321010101000
501;2023;1;4121;60;1641010101000
501;2023;1;4121;60;2311060101000
501;2023;1;4291;60;1321010101000
501;2023;1;4291;60;1631990199000
501;2023;1;4291;60;1922990199000
501;2023;1;4381;60;1331010101002
501;2023;1;4381;60;1332011101000
501;2023;1;4381;60;1611030199000
501;2023;1;4381;60;1911090199000
501;2023;1;4441;60;1321010101000
501;2023;1;4441;60;1911040103000
501;2023;1;4441;60;1911090199000
501;2023;1;4441;60;1922990199000
501;2023;1;4441;60;7729990126000
501;2023;1;4451;60;1321010101000
501;2023;1;4451;60;1911040102000
501;2023;1;4451;60;1911090199000
501;2023;1;4451;60;1922990199000
501;2023;1;4541;60;1641010101000
501;2023;1;4541;60;2311060101000
501;2023;1;4551;60;1219991106000
501;2023;1;4551;60;1219991107000
501;2023;1;4551;60;1219991108000
501;2023;1;4611;60;1311021101000
501;2023;1;4611;60;1321010101000
501;2023;1;4611;60;1921990199000
501;2023;1;4611;60;1922990199000
501;2023;1;4611;60;1999992199000
501;2023;1;4611;60;1999992299000
501;2023;1;4621;60;1641010101000
501;2023;1;4621;60;2311071199000
501;2023;1;4631;60;1911090101003
501;2023;1;4661;60;7311011101000
501;2023;1;4711;60;1922990199000
501;2023;1;9999;11;1121010101001
501;2023;1;9999;11;1121010101002
501;2023;1;9999;11;1121010101003
501;2023;1;9999;11;1121010101004
501;2023;1;9999;11;1121010101005
501;2023;1;9999;11;1121010101006
501;2023;1;9999;11;1121010103000
501;2023;1;9999;11;1121010104000
501;2023;1;9999;11;1121010201001
501;2023;1;9999;11;1121010201003
501;2023;1;9999;11;1121010201004
501;2023;1;9999;11;1121010201005
501;2023;1;9999;11;1121010203000
501;2023;1;9999;11;1121040101000
501;2023;1;9999;11;1121040102000
501;2023;1;9999;11;1121040103000
501;2023;1;9999;11;1121040104000
501;2023;1;9999;11;1121040105000
501;2023;1;9999;11;1121040106000
501;2023;1;9999;11;1121040107000
501;2023;1;9999;11;1121040109000
501;2023;1;9999;11;1121040201000
501;2023;1;9999;11;1121040202000
501;2023;1;9999;11;1121040203000
501;2023;1;9999;11;1122010101001
501;2023;1;9999;11;1122010101002
501;2023;1;9999;11;1122010101003
501;2023;1;9999;11;1122010101004
501;2023;1;9999;11;1122010101005
501;2023;1;9999;11;1122010101011
501;2023;1;9999;11;1122010104000
501;2023;1;9999;11;1122010201002
501;2023;1;9999;11;1122010201004
501;2023;1;9999;11;1321010101000
501;2023;1;9999;11;1332040101000
501;2023;1;9999;11;1349010101000
501;2023;1;9999;11;1349010102000
501;2023;1;9999;11;1349010103000
501;2023;1;9999;11;1349010199000
501;2023;1;9999;11;1511010101005
501;2023;1;9999;11;1611010118000
501;2023;1;9999;11;1641010101000
501;2023;1;9999;11;1712500101000
501;2023;1;9999;11;1712510101000
501;2023;1;9999;11;1712521101000
501;2023;1;9999;11;1739990111001
501;2023;1;9999;11;1911010103001
501;2023;1;9999;11;1911010103002
501;2023;1;9999;11;1911010112000
501;2023;1;9999;11;1921990101000
501;2023;1;9999;11;1922990199000
501;2023;1;9999;11;1999992199000
501;2023;1;9999;11;1999992299000
501;2023;1;9999;11;2311071199000
501;2023;1;9999;12;1922990199000
501;2023;1;9999;15;1122010101999
501;2023;1;9999;15;1122010199000
501;2023;1;9999;15;1122010201999
501;2023;1;9999;15;1122010301999
501;2023;1;9999;15;1122010401999
501;2023;1;9999;15;1311011101000
501;2023;1;9999;15;1311021102000
501;2023;1;9999;15;1311021199000
501;2023;1;9999;15;1311991101000
501;2023;1;9999;15;1311991201000
501;2023;1;9999;15;1321010101000
501;2023;1;9999;15;1321050102000
501;2023;1;9999;15;1321060101000
501;2023;1;9999;15;1322010101000
501;2023;1;9999;15;1322010102000
501;2023;1;9999;15;1399990101000
501;2023;1;9999;15;1399990301000
501;2023;1;9999;15;1511010102001
501;2023;1;9999;15;1511010102002
501;2023;1;9999;15;1511010102999
501;2023;1;9999;15;1611010113000
501;2023;1;9999;15;1611010115000
501;2023;1;9999;15;1611010119000
501;2023;1;9999;15;1611010126000
501;2023;1;9999;15;1611010199001
501;2023;1;9999;15;1611020101000
501;2023;1;9999;15;1611040103000
501;2023;1;9999;15;1699990101000
501;2023;1;9999;15;1699990301000
501;2023;1;9999;15;1719580101000
501;2023;1;9999;15;1911010101000
501;2023;1;9999;15;1911010104999
501;2023;1;9999;15;1911010204999
501;2023;1;9999;15;1911010304999
501;2023;1;9999;15;1911010404999
501;2023;1;9999;15;1911040104000
501;2023;1;9999;15;1911061101000
501;2023;1;9999;15;1911090199000
501;2023;1;9999;15;1921010199000
501;2023;1;9999;15;1921990199000
501;2023;1;9999;15;1923030101000
501;2023;1;9999;15;1999992108001
501;2023;1;9999;15;1999992108999
501;2023;1;9999;15;1999992111000
501;2023;1;9999;15;1999992113000
501;2023;1;9999;15;1999992199000
501;2023;1;9999;15;1999992299000
501;2023;1;9999;15;1999992399000
501;2023;1;9999;15;1999992499000
501;2023;1;9999;15;2311060101000
501;2023;1;9999;15;7311011101000
501;2023;1;9999;60;1311011101000
501;2023;1;9999;60;1311011102000
501;2023;1;9999;60;1311011202000
501;2023;1;9999;60;1311012101000
501;2023;1;9999;60;1311021101000
501;2023;1;9999;60;1321010101000
501;2023;1;9999;60;1361011101000
501;2023;1;9999;60;1611010103000
501;2023;1;9999;60;1611010106000
501;2023;1;9999;60;1611010109000
501;2023;1;9999;60;1611010111000
501;2023;1;9999;60;1611010113000
501;2023;1;9999;60;1611010117000
501;2023;1;9999;60;1611010119000
